status_name,carrier_name,status_type,substatus_type
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE REQUIRE A PHONE NUMBER FOR THE DELIVERY ADDRESS.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE'RE UNABLE TO DELIVER YOUR PACKAGE ON SCHEDULE.",UPS,Exception,Incorrect Info
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / WE'VE CONTACTED THE RECEIVER.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / YOUR DELIVERY WILL BE RESCHEDULED.",UPS,Exception,Customs/Tax Delays
"UPS INITIATED CONTACT WITH THE SENDER TO OBTAIN CLEARANCE INFORMATION. ONCE RECEIVED, UPS WILL SUBMIT FOR CLEARANCE. / YOUR PACKAGE IS ON THE WAY",UPS,Exception,Customs/Tax Delays
UPS IS PREPARING YOUR PACKAGE FOR CLEARANCE. WE WILL NOTIFY YOU IF ADDITIONAL INFORMATION IS NEEDED. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Customs/Tax Delays
UPS IS PREPARING YOUR PACKAGE FOR CLEARANCE. WE WILL NOTIFY YOU IF ADDITIONAL INFORMATION IS NEEDED. / SCHEDULED FOR DELIVERY TODAY.,UPS,Exception,Customs/Tax Delays
UPS IS PREPARING YOUR PACKAGE FOR CLEARANCE. WE WILL NOTIFY YOU IF ADDITIONAL INFORMATION IS NEEDED. / THE PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.,UPS,Exception,Customs/Tax Delays
UPS IS PREPARING YOUR PACKAGE FOR CLEARANCE. WE WILL NOTIFY YOU IF ADDITIONAL INFORMATION IS NEEDED. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
UPS IS PREPARING YOUR PACKAGE FOR CLEARANCE. WE WILL NOTIFY YOU IF ADDITIONAL INFORMATION IS NEEDED. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Customs/Tax Delays
UPS IS PREPARING YOUR PACKAGE FOR CLEARANCE. WE WILL NOTIFY YOU IF ADDITIONAL INFORMATION IS NEEDED. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Customs/Tax Delays
UPS IS UNABLE TO DELIVER THE PACKAGE BECAUSE THE ADDRESS IS INCOMPLETE. ATTEMPTS TO OBTAIN ADDRESS INFORMATION WERE UNSUCCESSFUL. PACKAGE IS BEING RETURNED TO SENDER.,UPS,Exception,Incorrect Info
UPS WAS UNABLE TO DELIVER THE PACKAGE. THE MERCHANDISE WILL BE DISPOSED OF OR SURRENDERED TO CUSTOMS.,UPS,Exception,Incorrect Info
VOIDED INFORMATION RECEIVED,UPS,Exception,Cancelled
WAREHOUSE-IN,Nippon Express,Transit,Pick Up Confirmed
WE ARE EXPERIENCING TRANSIT DELAYS. DELIVERY WILL BE DELAYED BY ONE BUSINESS DAY.,UPS,Exception,Traffic Delays
WE ARE EXPERIENCING TRANSIT DELAYS. WE WILL DELIVER YOUR PACKAGE AS SOON AS POSSIBLE.,UPS,Exception,Traffic Delays
WE ARE EXPERIENCING TRANSIT DELAYS. WE WILL DELIVER YOUR PACKAGE AS SOON AS POSSIBLE. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Traffic Delays
WE ARE TRYING TO GET THE SECURITY ACCESS OUR DRIVER NEEDS FOR THIS DELIVERY.,UPS,Exception,Incorrect Info
WE ARE TRYING TO GET THE SECURITY ACCESS OUR DRIVER NEEDS FOR THIS DELIVERY. / THE ADDRESS WAS CORRECTED.,UPS,Exception,Incorrect Info
WE ARE TRYING TO GET THE SECURITY ACCESS OUR DRIVER NEEDS FOR THIS DELIVERY. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Incorrect Info
WE ARE TRYING TO GET THE SECURITY ACCESS OUR DRIVER NEEDS FOR THIS DELIVERY. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Incorrect Info
WE ARE TRYING TO GET THE SECURITY ACCESS OUR DRIVER NEEDS FOR THIS DELIVERY. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Incorrect Info
WE ARE TRYING TO GET THE SECURITY ACCESS OUR DRIVER NEEDS FOR THIS DELIVERY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
WEATHER CONDITIONS HAVE DELAYED DELIVERY UNTIL THE NEXT BUSINESS DAY.,UPS,Exception,Natural Causes
WEATHER DELAY,FedEx,Exception,Natural Causes
WEATHER DELAY (CONTACT LOCAL TEAM OFFICE FOR DETAILS),Team Air,Exception,Natural Causes
WE ATTEMPTED TO CALL THE RECEIVER BUT THE NUMBER WAS MISSING OR INCORRECT. WE'LL CONTACT THE SENDER.,TNT,Exception,Incorrect Info
WE ATTEMPTED TO CALL THE RECEIVER BUT THERE WAS NO ANSWER. A MESSAGE WAS LEFT ON THE MACHINE.,TNT,Exception,Incorrect Info
WE ATTEMPTED TO CALL THE RECEIVER BUT THERE WAS NO ANSWER. WE'LL TRY AGAIN LATER IF NECESSARY.,TNT,Exception,Incorrect Info
WE ATTEMPTED TO CALL THE RECEIVER FOR A SECOND TIME BUT THE NUMBER WAS MISSING OR INCORRECT. WE'LL CONTACT THE SENDER.,TNT,Exception,Incorrect Info
WE ATTEMPTED TO CALL THE RECEIVER FOR A SECOND TIME BUT THERE WAS NO ANSWER.,TNT,Exception,Other Delays
WE ATTEMPTED TO CALL THE RECEIVER FOR A SECOND TIME BUT THERE WAS NO ANSWER. WE'LL CONTACT THE SENDER IF NECESSARY.,TNT,Exception,Other Delays
WE CORRECTED THE ADDRESS AS THE SENDER REQUESTED.,UPS,Exception,Incorrect Info
WE DO NOT CURRENTLY SERVE THE DESTINATION ADDRESS FOR THIS PACKAGE.,UPS,Exception,Incorrect Info
WE HAVE YOUR PACKAGE,UPS,Transit,Pick Up Confirmed
WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Other Delays
WE'LL CONTACT THE SENDER OR RECEIVER BECAUSE SENDER/IMPORTER VALIDATION IS REQUIRED BY CUSTOMS BEFORE RELEASE.,UPS,Exception,Customs/Tax Delays
WE'LL CONTACT THE SENDER/RECEIVER BECAUSE COMMODITY DESCRIPTION INFORMATION VALIDATION IS REQUIRED BY SENDER/IMPORTER BEFORE RELEASE.,UPS,Exception,Customs/Tax Delays
WE MISSED YOU AGAIN. A FINAL ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
WE MISSED YOU AGAIN. A FINAL ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Incorrect Info
WE MISSED YOU AGAIN. WE'LL MAKE A FINAL ATTEMPT ON THE NEXT BUSINESS DAY.,UPS,Exception,Incorrect Info
WE NEED CONTACT INFORMATION TO SEND TH ARRIVAL NOT,JAS Worldwide,Exception,Incorrect Info
WE RECEIVED AN ADDITIONAL REQUEST TO CHANGE THE DELIVERY OF THIS PACKAGE. THE REQUEST IS IN PROGRESS. / YOUR PACKAGE WILL BE DELIVERED TO AN ALTERNATE ADDRESS.,UPS,Exception,Incorrect Info
WE RECEIVED A REQUEST TO CHANGE DELIVERY. THE REQUEST WILL BE PROCESSED ONCE THE PACKAGE RETURNS TO OUR FACILITY.,UPS,Exception,Loss/Returns
WE RECEIVED A REQUEST TO MODIFY THE DELIVERY ADDRESS.,UPS,Exception,Incorrect Info
WE'RE IN THE PROCESS OF RETURNING THIS PACKAGE TO THE SENDER.,UPS,Exception,Loss/Returns
WE'RE IN THE PROCESS OF RETURNING THIS PACKAGE TO THE SENDER. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
WE'RE IN THE PROCESS OF RETURNING THIS PACKAGE TO THE SENDER. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
WE'RE IN THE PROCESS OF RETURNING THIS PACKAGE TO THE SENDER. / THE SENDER REQUESTED THAT WE RETURN THIS PACKAGE.,UPS,Exception,Loss/Returns
WE'RE IN THE PROCESS OF RETURNING THIS PACKAGE TO THE SENDER. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Loss/Returns
WE'RE IN THE PROCESS OF RETURNING THIS PACKAGE TO THE SENDER. / WE'RE UNABLE TO DELIVER YOUR PACKAGE ON SCHEDULE.,UPS,Exception,Loss/Returns
WE'RE IN THE PROCESS OF RETURNING THIS PACKAGE TO THE SENDER. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Loss/Returns
WE'RE IN THE PROCESS OF RETURNING THIS PACKAGE TO THE SENDER. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Loss/Returns
WE'RE RETURNING THIS PACKAGE TO THE SENDER.,UPS,Exception,Loss/Returns
WE'RE RETURNING THIS PACKAGE TO THE SENDER AS REQUESTED BY THE RECEIVER.,UPS,Exception,Loss/Returns
WERE SORRY THIS PACKAGE HAS EXPERIENCED A SORTATION DELAY. THE PACKAGE HAS BEEN REROUTED TO THE CORRECT DESTINATION.,UPS,Exception,Carrier Delays
WERE SORRY YOUR PACKAGE WAS DELAYED. DELIVERY WILL BE DELAYED BY ONE BUSINESS DAY.,UPS,Exception,Carrier Delays
WERE SORRY YOUR PACKAGE WAS DELAYED. WE ARE ADJUSTING DELIVERY PLANS AS QUICKLY AS POSSIBLE.,UPS,Exception,Carrier Delays
"WE TRIED TO DELIVER THE PACKAGE AGAIN, BUT NEED AN ADULT SIGNATURE. A FINAL ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.",UPS,Exception,Incorrect Info
"WE TRIED TO DELIVER THE PACKAGE, BUT NEED AN ADULT SIGNATURE. A SECOND ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.",UPS,Exception,Incorrect Info
"WE TRIED TO DELIVER THE PACKAGE, BUT WERE UNABLE TO RECEIVE PAYMENT. A SECOND ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY",UPS,Exception,Customs/Tax Delays
"WE TRIED TO DELIVER THE PACKAGE, BUT WERE UNABLE TO RECEIVE PAYMENT. A SECOND ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY / WE'RE UNABLE TO DELIVER YOUR PACKAGE ON SCHEDULE.",UPS,Exception,Customs/Tax Delays
"WE TRIED TO DELIVER TO THE BUSINESS AGAIN, BUT IT WAS CLOSED. A FINAL ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY.",UPS,Exception,Incorrect Info
"WE TRIED TO DELIVER TO THE BUSINESS, BUT IT WAS CLOSED. A SECOND ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY.",UPS,Exception,Incorrect Info
"WE TRIED TO DELIVER YOUR PACKAGE, BUT WE WERE UNABLE TO COLLECT FUNDS. WE'LL TRY AGAIN ON THE NEXT BUSINESS DAY.",UPS,Exception,Customs/Tax Delays
"WE TRIED TO PICKUP THE PACKAGE, BUT IT WAS NOT READY FOR PICKUP. A SECOND ATTEMPT WILL BE MADE THE NEXT BUSINESS DAY.",UPS,Exception,Incorrect Info
WE'VE ATTEMPTED TO CONTACT THE RECEIVER REGARDING PICKUP ARRANGEMENTS.,UPS,Exception,Other Delays
WE'VE BEGUN AN INVESTIGATION TO LOCATE THE PACKAGE.,UPS,Exception,Loss/Returns
WE'VE CONTACTED THE RECEIVER BECAUSE COMMODITY DESCRIPTION INFORMATION VALIDATION IS REQUIRED BY SENDER/IMPORTER BEFORE RELEASE.,UPS,Exception,Customs/Tax Delays
WE'VE CONTACTED THE RECEIVER BECAUSE SENDER/IMPORTER VALIDATION IS REQUIRED BY CUSTOMS BEFORE RELEASE.,UPS,Exception,Customs/Tax Delays
WE'VE INCORRECTLY SORTED THIS PACKAGE WHICH MAY CAUSE A DELAY.,UPS,Exception,Carrier Delays
WE'VE INCORRECTLY SORTED THIS PACKAGE WHICH MAY CAUSE A DELAY. / DELIVERY WILL BE DELAYED BY ONE BUSINESS DAY.,UPS,Exception,Carrier Delays
WE'VE INCORRECTLY SORTED THIS PACKAGE WHICH MAY CAUSE A DELAY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Carrier Delays
WE'VE INCORRECTLY SORTED THIS PACKAGE WHICH MAY CAUSE A DELAY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
WE'VE LEFT A MESSAGE FOR THE RECEIVER TO CONTACT US.,UPS,Exception,Other Delays
WE'VE MISROUTED THE PACKAGE. THIS MAY CAUSE A DELAY.,UPS,Exception,Carrier Delays
WE'VE MISROUTED THE PACKAGE. THIS MAY CAUSE A DELAY. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
WE'VE MISSED THE SCHEDULED TRANSFER TIME. THIS MAY CAUSE A DELAY.,UPS,Exception,Carrier Delays
WE'VE MISSED THE SCHEDULED TRANSFER TIME. THIS MAY CAUSE A DELAY. / DELIVERY WILL BE DELAYED BY ONE BUSINESS DAY.,UPS,Exception,Carrier Delays
WE'VE MISSED THE SCHEDULED TRANSFER TIME. THIS MAY CAUSE A DELAY. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
WE'VE MISSED THE SCHEDULED TRANSFER TIME. THIS MAY CAUSE A DELAY. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Carrier Delays
WE'VE MISSED THE SCHEDULED TRANSFER TIME. THIS MAY CAUSE A DELAY. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Carrier Delays
WE'VE MISSED THE SCHEDULED TRANSFER TIME. THIS MAY CAUSE A DELAY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Carrier Delays
WE'VE MISSED THE SCHEDULED TRANSFER TIME. THIS MAY CAUSE A DELAY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
WE'VE MISSED THE SCHEDULED TRANSFER TIME. THIS MAY CAUSE A DELAY. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Carrier Delays
WE'VE MODIFIED THE REQUESTED CHANGE OF DELIVERY FOR YOUR PACKAGE. / PACKAGE COULD NOT BE LOCATED FOR INTERCEPT.,UPS,Exception,Carrier Delays
WE'VE MODIFIED THE REQUESTED CHANGE OF DELIVERY FOR YOUR PACKAGE. / YOUR PACKAGE WILL BE DELIVERED TO AN ALTERNATE ADDRESS.,UPS,Exception,Incorrect Info
WE'VE RECEIVED A REQUEST FROM THE RECEIVER TO HOLD THE PACKAGE FOR PICKUP AT A UPS LOCATION.,UPS,Exception,Other Delays
WE'VE RECEIVED A REQUEST FROM THE SENDER TO RETURN THE PACKAGE.,UPS,Exception,Loss/Returns
WE'VE RECEIVED A REQUEST FROM THE SENDER TO UPDATE THE DELIVERY ADDRESS.,UPS,Exception,Incorrect Info
WE'VE SENT THE PACKAGE TO UPS LOST AND FOUND.,UPS,Exception,Loss/Returns
WE'VE SENT THE PACKAGE TO UPS LOST AND FOUND. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Loss/Returns
WE WERE NOT ABLE TO DELIVER THE PACKAGE AFTER 3 ATTEMPTS AND WILL BE RETURNING THE PACKAGE TO THE SENDER.,UPS,Exception,Loss/Returns
WE WERE UNABLE TO DELIVER THE PACKAGE ON OUR FINAL ATTEMPT. WE ARE RETURNING THIS PACKAGE TO THE SENDER.,UPS,Exception,Loss/Returns
WE WERE UNABLE TO DISPATCH THE TRAILER ON TIME. THIS MAY CAUSE A DELAY.,UPS,Exception,Carrier Delays
WE WERE UNABLE TO DISPATCH THE TRAILER ON TIME. THIS MAY CAUSE A DELAY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.,UPS,Exception,Carrier Delays
WE WERE UNABLE TO DISPATCH THE TRAILER ON TIME. THIS MAY CAUSE A DELAY. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
WE WERE UNABLE TO LOAD THE PACKAGE ON THE PLANE AS SCHEDULED.,UPS,Exception,Carrier Delays
WE WERE UNABLE TO LOAD THE PACKAGE ON THE PLANE AS SCHEDULED. / DELIVERY WILL BE DELAYED BY ONE BUSINESS DAY.,UPS,Exception,Carrier Delays
WE WERE UNABLE TO LOAD THE PACKAGE ON THE PLANE AS SCHEDULED. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
WE WERE UNABLE TO LOAD THE PACKAGE ON THE PLANE AS SCHEDULED. WE WILL DELIVER YOUR PACKAGE AS QUICKLY AS POSSIBLE.,UPS,Exception,Carrier Delays
WE WERE UNABLE TO LOAD THE PACKAGE ON THE PLANE AS SCHEDULED. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Carrier Delays
"WE WERE UNABLE TO OBTAIN A CORRECT ADDRESS FOR THE RECEIVER, PACKAGE WILL BE RETURNED TO THE SENDER.",UPS,Exception,Loss/Returns
YOUR DELIVERY CHANGE TO A UPS ACCESS POINT IS IN PROGRESS. CHECK BACK LATER FOR UPDATES.,UPS,Transit,Incorrect Info
YOUR DELIVERY HAS BEEN RESCHEDULED DUE TO THE HOLIDAY.,UPS,Exception,Other Delays
YOUR DELIVERY HAS BEEN RESCHEDULED. YOUR PACKAGE WILL BE HELD UNTIL THE DELIVERY DATE REQUESTED.,UPS,Exception,Other Delays
YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Carrier Delays
YOUR DELIVERY WILL BE RESCHEDULED DUE TO A MISSED AIRCRAFT TRANSFER. WE WILL UPDATE THE DELIVERY DATE AS SOON AS POSSIBLE.,UPS,Exception,Traffic Delays
YOUR PACKAGE ARRIVED LATE TO THE DESTINATION CITY. YOU SHOULD EXPECT AT LEAST ONE BUSINESS DAY DELAY.,UPS,Exception,Carrier Delays
YOUR PACKAGE ARRIVED LATE TO THE DESTINATION CITY. YOU SHOULD EXPECT AT LEAST ONE BUSINESS DAY DELAY. / YOUR SHIPMENT IS SCHEDULED TO ARRIVE TODAY AFTER THE DELIVERY COMMITMENT TIME.,UPS,Exception,Carrier Delays
YOUR PACKAGE CANNOT BE DELIVERED TO A P.O. BOX. WE'RE ATTEMPTING TO OBTAIN AN ALTERNATE DELIVERY ADDRESS.,UPS,Exception,Incorrect Info
YOUR PACKAGE CANNOT BE DELIVERED TO A P.O. BOX. WE'RE ATTEMPTING TO OBTAIN AN ALTERNATE DELIVERY ADDRESS. / THE INFORMATION REQUESTED HAS BEEN OBTAINED AND THE HOLD HAS BEEN RESOLVED.,UPS,Exception,Incorrect Info
YOUR PACKAGE CANNOT BE DELIVERED TO A P.O. BOX. WE'RE ATTEMPTING TO OBTAIN AN ALTERNATE DELIVERY ADDRESS. / WE SENT THE PACKAGE TO UPS LOST AND FOUND.,UPS,Exception,Incorrect Info
YOUR PACKAGE CONTAINS HAZARDOUS MATERIALS. WE WILL NOT TRANSPORT THIS PACKAGE BY AIR.,UPS,Exception,Other Delays
YOUR PACKAGE EXCEEDS THE MAXIMUM WEIGHT WE CAN ACCEPT.,UPS,Exception,Other Delays
YOUR PACKAGE HAS BEEN DELAYED DUE TO AN EXPORT GATEWAY HOLD.,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE HAS BEEN DELAYED DUE TO AN EXPORT GATEWAY HOLD. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.,UPS,Exception,Loss/Returns
YOUR PACKAGE HAS BEEN DELAYED DUE TO AN EXPORT GATEWAY HOLD. / YOUR DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE HAS BEEN DELAYED DUE TO AN EXPORT GATEWAY HOLD. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE HAS BEEN DELAYED DUE TO AN IMPORT GATEWAY HOLD. / THE PACKAGE WILL BE RETURNED TO THE SENDER.,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE HAS BEEN DELAYED DUE TO AN IMPORT GATEWAY HOLD. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE IS BEING DELAYED DUE TO THE PROCESSING INVOLVED WITH HANDLING LITHIUM BATTERIES.,UPS,Exception,Other Delays
YOUR PACKAGE IS IN TRANSIT. WE'RE UPDATING PLANS TO SCHEDULE YOUR DELIVERY. / DELIVERY WILL BE DELAYED BY ONE BUSINESS DAY.,UPS,Exception,Carrier Delays
YOUR PACKAGE IS IN TRANSIT. WE'RE UPDATING PLANS TO SCHEDULE YOUR DELIVERY. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Other Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY.",UPS,Exception,Customs/Tax Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / THE PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.",UPS,Exception,Customs/Tax Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / THE PACKAGE IS UNDELIVERABLE AND IS IN THE PROCESS OF BEING DISPOSED OF ACCORDING TO THE LOCAL GUIDELINES.",UPS,Exception,Customs/Tax Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / THE PACKAGE WILL BE RETURNED TO THE SENDER.",UPS,Exception,Traffic Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / WE'LL CONTACT THE SENDER OR RECEIVER ABOUT THIS DELIVERY.",UPS,Exception,Customs/Tax Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / WE REQUIRE A PHONE NUMBER FOR THE DELIVERY ADDRESS.",UPS,Exception,Incorrect Info
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / WE'VE CONTACTED THE RECEIVER.",UPS,Exception,Customs/Tax Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / WE'VE CONTACTED THE RECEIVER TO REQUEST ADDITIONAL INFORMATION.",UPS,Exception,Customs/Tax Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / WE'VE REQUESTED THAT THE RECEIVER CONTACT US.",UPS,Exception,Other Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / YOUR DELIVERY HAS BEEN RESCHEDULED FOR THE NEXT BUSINESS DAY.",UPS,Exception,Customs/Tax Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / YOUR DELIVERY WILL BE RESCHEDULED.",UPS,Exception,Customs/Tax Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. ONCE THEY RELEASE IT, YOUR PACKAGE WILL BE ON ITS WAY. / YOUR PACKAGE IS ON THE WAY",UPS,Exception,Customs/Tax Delays
YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. RELEASE OF THE PACKAGE TO UPS MAY TAKE UP TO 10 DAYS.,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. RELEASE OF THE PACKAGE TO UPS MAY TAKE UP TO 10 DAYS. / DELIVERY WILL BE RESCHEDULED.,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. RELEASE OF THE PACKAGE TO UPS MAY TAKE UP TO 10 DAYS. / THE PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. RELEASE OF THE PACKAGE TO UPS MAY TAKE UP TO 10 DAYS. / WE'VE CONTACTED THE RECEIVER.,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. RELEASE OF THE PACKAGE TO UPS MAY TAKE UP TO 10 DAYS. / WE'VE CONTACTED THE RECEIVER TO REQUEST ADDITIONAL INFORMATION.,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE IS PENDING RELEASE FROM A GOVERNMENT AGENCY. RELEASE OF THE PACKAGE TO UPS MAY TAKE UP TO 10 DAYS. / YOUR PACKAGE IS ON THE WAY,UPS,Exception,Customs/Tax Delays
/ YOUR PACKAGE IS PENDING RELEASE FROM A NON-UPS BROKER. CONTACT THE NON-UPS BROKER FOR ADDITIONAL INFORMATION.,UPS,Exception,Customs/Tax Delays
YOUR PACKAGE IS PENDING RELEASE FROM A NON-UPS BROKER. CONTACT THE NON-UPS BROKER FOR ADDITIONAL INFORMATION.,UPS,Exception,Customs/Tax Delays
"YOUR PACKAGE IS PENDING RELEASE FROM A NON-UPS BROKER. CONTACT THE NON-UPS BROKER FOR ADDITIONAL INFORMATION. / AS REQUESTED, THE PACKAGE WAS TRANSFERRED TO A FREE TRADE ZONE OR A NON-UPS BROKER.",UPS,Exception,Customs/Tax Delays
YOUR PACKAGE IS PENDING RELEASE FROM A NON-UPS BROKER. CONTACT THE NON-UPS BROKER FOR ADDITIONAL INFORMATION. / THE DELIVERY INFORMATION WAS UPDATED IN ERROR. WE'VE CORRECTED THE MISTAKE.,UPS,Transit,Incorrect Info
YOUR PACKAGE IS PENDING RELEASE FROM A NON-UPS BROKER. CONTACT THE NON-UPS BROKER FOR ADDITIONAL INFORMATION. / THE PACKAGE IS AT THE CLEARING AGENCY AWAITING FINAL RELEASE.,UPS,Exception,Customs/Tax Delays
